Id,Predicted
0,1
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,1
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,1
385,1
386,0
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,1
528,0
529,0
530,1
531,0
532,1
533,0
534,0
535,1
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,0
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,1
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,0
685,0
686,1
687,1
688,1
689,1
690,0
691,0
692,0
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,1
722,0
723,0
724,0
725,1
726,1
727,0
728,0
729,0
730,0
731,0
732,1
733,0
734,1
735,1
736,1
737,0
738,0
739,1
740,0
741,1
742,0
743,0
744,1
745,1
746,1
747,1
748,0
749,0
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,1
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,0
793,0
794,1
795,1
796,1
797,1
798,1
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,1
807,0
808,0
809,0
810,0
811,0
